Serial No.,Timestamp,Temperature (°C),Humidity (%),CO2 (PPM),PM 1 (µg/m³),PM 2.5 (µg/m³),PM 10 (µg/m³)
265,2026-04-15 15:17:55,32.8,59.0,,,,
266,2026-04-15 15:18:00,32.8,59.0,,,,
267,2026-04-15 15:18:05,32.8,59.0,,,,
268,2026-04-15 15:18:10,32.8,59.0,,,,
269,2026-04-15 15:18:15,32.8,59.0,,,,
270,2026-04-15 15:18:20,32.8,59.0,,,,
271,2026-04-15 15:18:25,32.8,59.0,,,,
272,2026-04-15 15:18:30,32.8,59.0,,,,
273,2026-04-15 15:18:35,32.8,59.0,,,,
274,2026-04-15 15:18:40,32.8,59.0,,,,
275,2026-04-15 15:18:45,32.8,59.0,,,,
276,2026-04-15 15:18:50,32.8,59.0,,,,
277,2026-04-15 15:18:55,32.8,59.0,,,,
278,2026-04-15 15:19:00,32.8,59.0,,,,
279,2026-04-15 15:19:05,32.8,59.0,,,,
280,2026-04-15 15:19:10,32.8,59.0,,,,
281,2026-04-15 15:19:15,32.8,59.0,,,,
282,2026-04-15 15:19:20,32.8,59.0,,,,
283,2026-04-15 15:19:25,32.8,59.0,,,,
284,2026-04-15 15:19:30,32.8,59.0,,,,
285,2026-04-15 15:19:35,32.8,59.0,,,,
286,2026-04-15 15:19:40,32.8,59.0,,,,
287,2026-04-15 15:19:45,32.8,59.0,,,,
288,2026-04-15 15:19:50,32.8,59.0,,,,
289,2026-04-15 15:19:55,32.8,59.0,,,,
290,2026-04-15 15:20:00,32.8,59.0,,,,
291,2026-04-15 15:20:05,32.8,59.0,,,,
292,2026-04-15 15:20:10,32.8,59.0,,,,
293,2026-04-15 15:20:15,32.8,59.0,,,,
294,2026-04-15 15:20:20,32.8,59.0,,,,
295,2026-04-15 15:20:25,32.8,59.0,,,,
296,2026-04-15 15:20:30,32.8,59.0,,,,
297,2026-04-15 15:20:35,32.8,59.0,,,,
298,2026-04-15 15:20:40,32.8,59.0,,,,
299,2026-04-15 15:20:45,32.8,59.0,,,,
300,2026-04-15 15:20:50,32.8,59.0,,,,
301,2026-04-15 15:20:55,32.8,59.0,,,,
302,2026-04-15 15:21:00,32.8,59.0,,,,
303,2026-04-15 15:21:05,32.8,59.0,,,,
304,2026-04-15 15:21:10,32.8,59.0,,,,
305,2026-04-15 15:21:15,32.8,59.0,,,,
306,2026-04-15 15:21:20,32.8,59.0,,,,
307,2026-04-15 15:21:25,32.8,58.0,,,,
308,2026-04-15 15:21:30,32.8,59.0,,,,
309,2026-04-15 15:21:35,32.8,58.0,,,,
310,2026-04-15 15:21:40,32.8,58.0,,,,
311,2026-04-15 15:21:45,32.8,58.0,,,,
312,2026-04-15 15:21:50,32.8,58.0,,,,
313,2026-04-15 15:21:55,32.8,59.0,,,,
314,2026-04-15 15:22:00,32.8,59.0,,,,
315,2026-04-15 15:22:05,32.8,59.0,,,,
316,2026-04-15 15:22:10,32.8,59.0,,,,
317,2026-04-15 15:22:15,32.8,59.0,,,,
318,2026-04-15 15:22:20,32.8,58.0,,,,
319,2026-04-15 15:22:25,32.8,58.0,,,,
320,2026-04-15 15:22:30,32.8,58.0,,,,
321,2026-04-15 15:22:35,32.8,58.0,,,,
322,2026-04-15 15:22:40,32.8,58.0,,,,
323,2026-04-15 15:22:45,32.8,58.0,,,,
324,2026-04-15 15:22:50,32.8,58.0,,,,
325,2026-04-15 15:22:55,32.8,58.0,,,,
326,2026-04-15 15:23:00,32.8,58.0,,,,
327,2026-04-15 15:23:05,32.8,58.0,,,,
328,2026-04-15 15:23:10,32.8,58.0,,,,
329,2026-04-15 15:23:15,32.8,58.0,,,,
330,2026-04-15 15:23:20,32.8,58.0,,,,
331,2026-04-15 15:23:25,32.8,58.0,,,,
332,2026-04-15 15:23:30,32.8,58.0,,,,
333,2026-04-15 15:23:35,32.8,58.0,,,,
334,2026-04-15 15:23:40,32.8,58.0,,,,
335,2026-04-15 15:23:45,32.8,58.0,,,,
336,2026-04-15 15:23:50,32.8,58.0,,,,
337,2026-04-15 15:23:55,32.8,58.0,,,,
338,2026-04-15 15:24:00,32.8,58.0,,,,
339,2026-04-15 15:24:05,32.8,58.0,,,,
340,2026-04-15 15:24:10,32.8,58.0,,,,
341,2026-04-15 15:24:15,32.8,58.0,,,,
342,2026-04-15 15:24:20,32.8,58.0,,,,
343,2026-04-15 15:24:25,32.8,58.0,,,,
344,2026-04-15 15:24:30,32.8,58.0,,,,
345,2026-04-15 15:24:35,32.8,58.0,,,,
346,2026-04-15 15:24:40,32.8,58.0,,,,
347,2026-04-15 15:24:45,32.8,58.0,,,,
348,2026-04-15 15:24:50,32.8,58.0,,,,
349,2026-04-15 15:24:55,32.8,58.0,,,,
350,2026-04-15 15:25:00,32.8,58.0,,,,
351,2026-04-15 15:25:05,32.8,58.0,,,,
352,2026-04-15 15:25:10,32.8,58.0,,,,
353,2026-04-15 15:25:15,32.8,58.0,,,,
354,2026-04-15 15:25:20,32.8,58.0,,,,
355,2026-04-15 15:25:25,32.8,58.0,,,,
356,2026-04-15 15:25:30,32.8,58.0,,,,
357,2026-04-15 15:25:35,32.8,58.0,,,,
358,2026-04-15 15:25:40,32.8,58.0,,,,
359,2026-04-15 15:25:45,32.8,58.0,,,,
360,2026-04-15 15:25:50,32.8,58.0,,,,
361,2026-04-15 15:25:55,32.8,58.0,,,,
362,2026-04-15 15:26:00,32.8,58.0,,,,
363,2026-04-15 15:26:05,32.8,58.0,,,,
364,2026-04-15 15:26:10,32.8,58.0,,,,
,2026-04-15 15:56:51,32.8,58.0
,2026-04-15 15:56:55,32.8,58.0
,2026-04-15 15:57:00,32.8,58.0
,2026-04-15 15:57:05,32.8,58.0
,2026-04-15 15:57:10,32.8,62.0
,2026-04-15 15:57:18,32.8,67.0
,2026-04-15 15:57:20,32.8,64.0
,2026-04-15 15:57:25,32.8,61.0
,2026-04-15 15:57:30,32.8,60.0
,2026-04-15 15:57:35,32.8,60.0
,2026-04-15 15:57:40,32.8,59.0
,2026-04-15 15:57:45,32.8,59.0
,2026-04-15 15:57:50,32.8,59.0
,2026-04-15 15:57:55,32.8,59.0
,2026-04-15 15:58:00,32.8,59.0
,2026-04-15 15:58:05,32.8,59.0
,2026-04-15 15:58:10,32.8,59.0
,2026-04-15 15:58:15,32.8,59.0
,2026-04-15 15:58:20,32.8,59.0
,2026-04-15 15:58:25,32.8,59.0
,2026-04-15 15:58:30,32.8,59.0
,2026-04-15 15:58:35,32.8,58.0
,2026-04-15 15:58:40,32.8,58.0
,2026-04-15 15:58:45,32.8,58.0
,2026-04-15 15:58:50,32.8,58.0
,2026-04-15 15:58:55,32.8,58.0
,2026-04-15 15:59:00,32.8,58.0
,2026-04-15 15:59:05,32.8,58.0
,2026-04-15 15:59:13,32.8,58.0,,,,
,2026-04-15 15:59:15,32.8,58.0,,,,
,2026-04-15 15:59:20,32.8,58.0,,,,
,2026-04-15 15:59:25,32.8,58.0,,,,
,2026-04-15 15:59:30,32.8,58.0,,,,
,2026-04-15 15:59:35,32.8,58.0,,,,
,2026-04-15 15:59:59,32.8,59.0,,,,
,2026-04-15 16:00:04,32.8,59.0,,,,
401,2026-04-15 16:00:09,32.8,59.0,,,,
402,2026-04-15 16:00:14,32.8,58.0,,,,
403,2026-04-15 16:00:19,32.8,58.0,,,,
404,2026-04-15 16:00:24,32.8,58.0,,,,
405,2026-04-15 16:00:29,32.8,58.0,,,,
406,2026-04-15 16:00:34,32.8,58.0,,,,
407,2026-04-15 16:00:39,32.8,58.0,,,,
408,2026-04-15 16:00:44,32.8,58.0,,,,
409,2026-04-15 16:00:49,32.8,58.0,,,,
410,2026-04-15 16:00:54,32.8,58.0,,,,
411,2026-04-15 16:00:59,32.8,58.0,,,,
412,2026-04-15 16:01:04,32.8,58.0,,,,
413,2026-04-15 16:01:09,32.8,58.0,,,,
